ID	Name	ParentID	AmazonCategoryId
614	Data Storage	407	1292110011
615	Computer Components	407	193870011
616	Computer Accessories & Peripherals	407	172456
617	Songs	408	324382011
618	Holiday MP3s	408	2238043011
619	Black Friday Deals	408	2238044011
620	Albums	408	324381011
621	Wearable Technology	409	10048700011
622	Car & Vehicle Electronics	409	3248684011
623	Cell Phones & Accessories	409	2811119011
624	Computers & Accessories	409	541966
625	eBook Readers & Accessories	409	2642125011
626	Electronics Warranties	409	2242348011
627	GPS, Finders & Accessories	409	172526
628	Headphones	409	172541
629	Home Audio	409	667846011
630	Household Batteries, Chargers & Accessories	409	21608214011
631	Office Electronics	409	172574
632	Portable Audio & Video	409	172623
633	Power Accessories	409	21608215011
634	Security & Surveillance	409	524136
635	Service Plans	409	16285901
636	Television & Video	409	1266092011
637	Video Game Consoles & Accessories	409	7926841011
638	Video Projectors	409	300334
639	Camera & Photo	409	502394
640	Accessories & Supplies	409	281407
641	Wardrobe Items	410	5263624011
642	Artwork By Celebrities	410	6250511011
643	Backstage Passes	410	5263599011
644	Books	410	5263600011
645	Comic Art	410	7463351011
646	Comic Books	410	11873140011
647	Contracts	410	5263604011
648	Correspondence	410	5263605011
649	Cut Signatures	410	5931157011
650	Figurines	410	19419881011
651	Flyers	410	5263607011
652	Framed Record Award Sets	410	5525078011
653	Lobby Cards	410	10434532011
654	Magazines	410	5263609011
655	Apparel	410	5263598011
656	Movies & Music	410	10394942011
657	Photographs	410	5263611011
658	Plates	410	5263612011
659	Playbills	410	5263613011
660	Postcards	410	5263614011
661	Prints & Posters	410	5227492011
662	Programs	410	5263615011
663	Props	410	5263616011
664	Publicity Photo Cards	410	5263617011
665	Scripts	410	5263618011
666	Sheet Music	410	5263619011
667	Signed Personal Checks	410	5263610011
668	Ticket Stubs	410	5263620011
669	Trading Cards	410	5263621011
670	Musical Instruments	410	5263608011
671	Animation	410	7463352011
672	Snack Foods	411	16322721
673	Beverages	411	16310231
674	Breads & Bakery	411	16318751
675	Breakfast Foods	411	16310251
676	Candy & Chocolate	411	16322461
677	Dairy, Cheese & Eggs	411	371460011
678	Deli & Prepared Foods	411	18773724011
679	Food & Beverage Gifts	411	2255571011
680	Fresh Flowers & Live Indoor Plants	411	3745171
681	Fresh Meal Kits	411	15709227011
682	Frozen	411	6459122011
683	Home Brewing & Winemaking	411	979861011
684	Meat & Seafood	411	371469011
685	Meat Substitutes	411	6518859011
686	Pantry Staples	411	18787303011
687	Produce	411	6506977011
688	Baby Foods	411	16323111
689	Alcoholic Beverages	411	2983371011
690	Wellness & Relaxation	412	10079996011
691	Vitamins & Dietary Supplements	412	3764441
692	Vision Care	412	10079994011
693	Sports Nutrition	412	6973663011
694	Sexual Wellness	412	3777371
695	Sales & Deals	412	353413011
696	Personal Care	412	3777891
697	Oral Care	412	10079992011
698	Medical Supplies & Equipment	412	3775161
699	House Supplies	412	15342811
700	Health Care	412	3760941
701	Baby & Child Care	412	10787321
702	Storage & Home Organization	413	13400631
703	Safety & Security	413	3180231
704	Rough Plumbing	413	13749581
705	Power & Hand Tools	413	328182011
706	Paint, Wall Treatments & Supplies	413	228899
707	Measuring & Layout Tools	413	553244
708	Lighting & Ceiling Fans	413	495224
709	Kitchen & Bath Fixtures	413	3754161
710	Hardware	413	511228
711	Electrical	413	495266
712	Building Supplies	413	551240
713	Appliances	413	13397451
714	Air Tools	413	552684
715	Kindle Vella	415	21165462011
716	Kindle Singles	415	2486013011
717	Kindle Short Reads	415	8584457011
718	Kindle Newsstand	415	241646011
719	Kindle Newspapers	415	165389011
720	Kindle eBooks	415	154606011
721	Kindle Active Content	415	2240131011
722	Wine Accessories	416	13299291
723	Water Coolers & Filters	416	510202
724	Travel & To-Go Drinkware	416	9630569011
725	Storage & Organization	416	510136
726	Small Appliances	416	289913
727	Small Appliance Parts & Accessories	416	1267449011
728	Kitchen Utensils & Gadgets	416	289754
729	Kitchen & Table Linens	416	1063916
730	Home Brewing & Wine Making	416	979832011
731	Food Service Equipment & Supplies	416	6054382011
732	Dining & Entertaining	416	13162311
733	Cutlery & Knife Accessories	416	289851
734	Cookware	416	289814
735	Coffee, Tea & Espresso	416	915194
736	Bakeware	416	289668
737	Women's Interest	417	602372
738	Bridal	417	602318
739	Business & Finance	417	602320
740	Children's	417	602322
741	Computer & Internet	417	602324
742	Electronics & Audio	417	602326
743	Entertainment	417	602328
744	Family & Parenting	417	602330
745	Fashion & Style	417	602332
746	Food & Gourmet	417	602334
747	Games & Hobbies	417	602336
748	Gay & Lesbian	417	602338
